Location_ID,Location
1,Kentucky
2,Maine
3,Massachusetts
4,Rhode Island
5,Oregon
6,Wyoming
7,Montana
8,Louisiana
9,West Virginia
10,Missouri
11,Arkansas
12,Hawaii
13,Delaware
14,New Hampshire
15,New York
16,Alabama
17,Mississippi
18,North Carolina
19,California
20,Oklahoma
21,Florida
22,Texas
23,Nevada
24,Kansas
25,Colorado
26,North Dakota
27,Illinois
28,Indiana
29,Arizona
30,Alaska
31,Tennessee
32,Ohio
33,New Jersey
34,Maryland
35,Vermont
36,New Mexico
37,South Carolina
38,Idaho
39,Pennsylvania
40,Connecticut
41,Utah
42,Virginia
43,Georgia
44,Nebraska
45,Iowa
46,South Dakota
47,Minnesota
48,Washington
49,Wisconsin
50,Michigan
