Transaction_ID,Customer_ID,Item_ID,Location_ID,Payment_Method_ID,Shipping_Type_ID,Purchase_Amount_USD,Review_Rating,Discount_Applied,Promo_Code_Used,Subscription_Status,Previous_Purchases,Frequency_of_Purchases,Season
1,1,1,1,1,1,53,3.1,Yes,Yes,Yes,14,Fortnightly,Winter
2,2940,307,1,1,1,46,4.3,No,No,No,34,Weekly,Winter
3,3576,478,1,1,1,95,3.7,No,No,No,49,Bi-Weekly,Fall
4,2268,1395,1,1,1,49,3.8,No,No,No,37,Weekly,Spring
5,1157,885,12,1,1,21,4.8,Yes,Yes,No,6,Every 3 Months,Summer
6,556,491,2,1,1,57,4.8,Yes,Yes,Yes,37,Annually,Fall
7,1460,1037,2,1,1,35,4.8,Yes,Yes,No,18,Fortnightly,Winter
8,3816,1069,2,1,1,44,4.3,No,No,No,12,Fortnightly,Fall
9,3577,1572,2,1,1,24,3.0,No,No,No,12,Bi-Weekly,Spring
10,3243,216,5,1,1,74,2.8,No,No,No,17,Weekly,Fall
11,3218,413,5,1,1,58,3.4,No,No,No,46,Weekly,Fall
12,1250,935,5,1,1,50,4.5,Yes,Yes,No,48,Fortnightly,Winter
13,1800,59,19,1,1,48,3.9,No,No,No,47,Weekly,Fall
14,1599,138,19,1,1,85,4.1,Yes,Yes,No,21,Bi-Weekly,Fall
15,497,442,19,1,1,63,3.3,Yes,Yes,Yes,31,Fortnightly,Fall
16,1139,295,45,1,1,36,4.7,Yes,Yes,No,32,Fortnightly,Summer
17,2792,399,45,1,1,60,2.8,No,No,No,14,Fortnightly,Fall
18,938,451,45,1,1,24,2.7,Yes,Yes,Yes,18,Quarterly,Summer
19,2285,606,45,1,1,63,4.1,No,No,No,20,Annually,Fall
20,3839,523,4,1,1,25,4.2,No,No,No,24,Every 3 Months,Summer
21,1278,955,4,1,1,97,5.0,Yes,Yes,No,5,Quarterly,Spring
22,2345,1424,4,1,1,92,3.5,No,No,No,14,Bi-Weekly,Fall
23,2455,559,30,1,1,72,4.6,No,No,No,33,Annually,Winter
24,718,609,30,1,1,90,4.2,Yes,Yes,Yes,7,Every 3 Months,Spring
25,3006,1484,30,1,1,65,3.5,No,No,No,5,Weekly,Spring
26,1239,382,6,1,1,77,3.7,Yes,Yes,No,3,Fortnightly,Winter
27,778,655,6,1,1,32,2.5,Yes,Yes,Yes,37,Weekly,Spring
28,898,7,27,1,1,91,3.4,Yes,Yes,Yes,46,Weekly,Spring
29,463,411,27,1,1,81,3.3,Yes,Yes,Yes,48,Every 3 Months,Fall
30,769,439,27,1,1,95,2.6,Yes,Yes,Yes,45,Weekly,Spring
31,663,567,27,1,1,98,2.8,Yes,Yes,Yes,39,Bi-Weekly,Fall
